Auction_id,Auction_Desc,round_num,bidder_id,bidder_name,bip_name,bip_desc,bid_rnd_num,net_bid_amt,bid_amt
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-CMA185-A,"Terre Haute, IN",41,"180,000","180,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA186-A,"Green Bay, WI",54,"685,000","685,000"
66,Advanced Wireless Services,161,15031388,Daredevil Communications LLC,AW-CMA188-A,"Amarillo, TX",73,"245,250","327,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA189-A,"Racine, WI",21,"189,000","189,000"
66,Advanced Wireless Services,161,3474327,"Cable One, Inc.",AW-CMA190-A,"Boise City, ID",92,"1,126,000","1,126,000"
66,Advanced Wireless Services,161,15021066,"Red Rock Spectrum Holdings, LLC",AW-CMA191-A,"Yakima, WA",39,"306,000","306,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA192-A,"Gainesville, FL",31,"970,000","970,000"
66,Advanced Wireless Services,161,5209374,"Vermont Telephone Company, Inc.",AW-BEA004-C,Burlington VT-NY,141,"909,500","1,070,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA005-B,Albany-Schenectady-Troy NY,50,"2,915,000","2,915,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA005-C,Albany-Schenectady-Troy NY,85,"2,962,000","2,962,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA006-B,Syracuse NY-PA,49,"5,812,000","5,812,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA004-B,Burlington VT-NY,107,"1,533,000","1,533,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-BEA013-C,Wash.-Balt. DC-MD-VA-WV-PA,36,"76,066,000","76,066,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA014-B,Salisbury MD-DE-VA,40,"246,000","246,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA014-C,Salisbury MD-DE-VA,62,"109,000","109,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA015-B,Richmond-Petersburg VA,37,"8,842,000","8,842,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-BEA015-C,Richmond-Petersburg VA,66,"4,213,000","4,213,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA016-B,Staunton VA-WV,31,"200,000","200,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA016-C,Staunton VA-WV,56,"113,000","113,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA017-B,Roanoke VA-NC-WV,35,"1,221,000","1,221,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-BEA026-C,Charleston-North Charleston SC,76,"1,796,000","1,796,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA027-B,Augusta-Aiken GA-SC,28,"656,000","656,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA027-C,Augusta-Aiken GA-SC,61,"475,000","475,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA028-B,Savannah GA-SC,73,"1,502,000","1,502,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA028-C,Savannah GA-SC,81,"1,500,000","1,500,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA029-B,Jacksonville FL-GA,40,"13,555,000","13,555,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-BEA029-C,Jacksonville FL-GA,42,"5,565,000","5,565,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA030-B,Orlando FL,37,"27,191,000","27,191,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-BEA030-C,Orlando FL,38,"16,098,000","16,098,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-BEA034-C,Tampa-St. Petersburg FL,90,"25,888,000","25,888,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA033-C,Sarasota-Bradenton FL,77,"1,807,000","1,807,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA035-B,Tallahassee FL-GA,84,"1,781,000","1,781,000"
66,Advanced Wireless Services,161,15024631,"Cavalier Wireless, LLC",AW-BEA035-C,Tallahassee FL-GA,81,"1,076,250","1,435,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA034-B,Tampa-St. Petersburg FL,87,"28,522,000","28,522,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA005-A,"Detroit-Ann Arbor, MI",52,"65,187,000","65,187,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA006-A,"Boston-Brockton-Lowell, MA-NH",32,"36,787,000","36,787,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA007-A,"San Francisco-Oakland, CA",26,"26,963,000","26,963,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA008-A,"Washington, DC-MD-VA",38,"133,150,000","133,150,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA009-A,"Dallas-Fort Worth, TX",36,"50,682,000","50,682,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA010-A,"Houston, TX",28,"25,947,000","25,947,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA011-A,"St. Louis, MO-IL",54,"25,089,000","25,089,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA012-A,"Miami-Fort Lauderdale, FL",32,"35,633,000","35,633,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA042-A,Bridgeport-Stamford-Danbury CT,33,"6,972,000","6,972,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA043-A,"Norfolk-Virginia Beach, VA-NC",55,"26,586,000","26,586,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA039-A,"Salt Lake City-Ogden, UT",45,"7,659,000","7,659,000"
66,Advanced Wireless Services,161,3010493,Cincinnati Bell Wireless LLC,AW-CMA040-A,"Dayton, OH",53,"4,431,000","4,431,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA041-A,"Birmingham, AL",89,"7,523,000","7,523,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA049-A,New Haven-Waterbury-Meriden CT,64,"4,133,000","4,133,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA050-A,"Honolulu, HI",114,"3,583,000","3,583,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA051-A,"Jacksonville, FL",41,"9,050,000","9,050,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA053-A,"Syracuse, NY",66,"2,666,000","2,666,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA052-A,"Akron, OH",40,"1,125,000","1,125,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA054-A,"Gary-Hammond-East Chicago, IN",21,"631,000","631,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA060-A,"Orlando, FL",35,"13,999,000","13,999,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA061-A,"Charlotte-Gastonia, NC",46,"9,191,000","9,191,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA062-A,"New Brunswick-Perth Amboy, NJ",45,"7,292,000","7,292,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-CMA063-A,"Springfield-Holyoke, MA",39,"1,900,000","1,900,000"
66,Advanced Wireless Services,161,3296480,Centennial Michiana License Company LLC,AW-CMA064-A,"Grand Rapids, MI",104,"7,337,000","7,337,000"
66,Advanced Wireless Services,161,6236475,"Iowa Telecommunications Services, Inc.",AW-CMA098-A,"Davenport-Rock Island, IA-IL",82,"405,000","405,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA089-A,"Wichita, KS",62,"2,984,000","2,984,000"
66,Advanced Wireless Services,161,1886860,"Palmetto Rural Telephone Cooperative, In",AW-CMA090-A,"Charleston, SC",59,"2,555,100","3,006,000"
66,Advanced Wireless Services,161,15024631,"Cavalier Wireless, LLC",AW-CMA091-A,"San Juan-Caguas, PR",42,"2,003,250","2,671,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA092-A,"Little Rock, AR",86,"2,318,000","2,318,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA093-A,"Las Vegas, NV",37,"8,486,000","8,486,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA094-A,"Saginaw-Bay City-Midland, MI",28,"1,475,000","1,475,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA097-A,"Bakersfield, CA",31,"1,763,000","1,763,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA095-A,"Columbia, SC",47,"4,146,000","4,146,000"
66,Advanced Wireless Services,161,15024631,"Cavalier Wireless, LLC",AW-CMA096-A,"Fort Wayne, IN",58,"577,500","770,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-CMA126-A,"Salinas-Seaside-Monterey, CA",39,"974,000","974,000"
66,Advanced Wireless Services,161,5411426,"Cellular South Licenses, Inc.",AW-CMA127-A,"Pensacola, FL",52,"2,474,000","2,474,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA128-A,"McAllen-Edinburg-Mission, TX",46,"725,000","725,000"
