Auction_id,Auction_Desc,round_num,bip_name,bip_desc,price,prov_winner,pw_bid_rnd_num,prev_prov_winner,prev_pw_bid_rnd_num
66,Advanced Wireless Services,161,AW-CMA650-A,Tennessee 8 - Johnson,46000,"Carolina West Wireless, Inc.",83,"Carolina West Wireless, Inc.",83
66,Advanced Wireless Services,161,AW-CMA651-A,Tennessee 9 - Maury,54000,"Cellular South Licenses, Inc.",79,"Cellular South Licenses, Inc.",79
66,Advanced Wireless Services,161,AW-CMA652-A,Texas 1 - Dallam,143000,"Red Rock Spectrum Holdings, LLC",86,"Red Rock Spectrum Holdings, LLC",86
66,Advanced Wireless Services,161,AW-CMA653-A,Texas 2 - Hansford,497000,"Cable One, Inc.",80,"Cable One, Inc.",80
66,Advanced Wireless Services,161,AW-CMA654-A,Texas 3 - Parmer,550000,"Plateau Telecommunications, Inc.",48,"Plateau Telecommunications, Inc.",48
66,Advanced Wireless Services,161,AW-CMA655-A,Texas 4 - Briscoe,33000,"Red Rock Spectrum Holdings, LLC",45,"Red Rock Spectrum Holdings, LLC",45
66,Advanced Wireless Services,161,AW-CMA656-A,Texas 5 - Hardeman,322000,"Red Rock Spectrum Holdings, LLC",43,"Red Rock Spectrum Holdings, LLC",43
66,Advanced Wireless Services,161,AW-CMA657-A,Texas 6 - Jack,348000,AWS Wireless Inc.,46,AWS Wireless Inc.,46
66,Advanced Wireless Services,161,AW-CMA658-A,Texas 7 - Fannin,290000,AWS Wireless Inc.,44,AWS Wireless Inc.,44
66,Advanced Wireless Services,161,AW-CMA659-A,Texas 8 - Gaines,217000,"Red Rock Spectrum Holdings, LLC",41,"Red Rock Spectrum Holdings, LLC",41
66,Advanced Wireless Services,161,AW-CMA660-A,Texas 9 - Runnels,2799000,"Central Texas Telephone Investments, LP",62,"Central Texas Telephone Investments, LP",62
66,Advanced Wireless Services,161,AW-CMA661-A,Texas 10 - Navarro,1600000,American Cellular Corporation,61,American Cellular Corporation,61
66,Advanced Wireless Services,161,AW-CMA662-A,Texas 11 - Cherokee,483000,AWS Wireless Inc.,46,AWS Wireless Inc.,46
66,Advanced Wireless Services,161,AW-CMA663-A,Texas 12 - Hudspeth,45000,"Big Bend Telecom, LTD",13,"Big Bend Telecom, LTD",13
66,Advanced Wireless Services,161,AW-CMA664-A,Texas 13 - Reeves,84000,"Big Bend Telecom, LTD",45,"Big Bend Telecom, LTD",45
66,Advanced Wireless Services,161,AW-CMA665-A,Texas 14 - Loving,116000,"Central Texas Telephone Investments, LP",44,"Central Texas Telephone Investments, LP",44
66,Advanced Wireless Services,161,AW-CMA666-A,Texas 15 - Concho,2849000,"Hill Country Telephone Cooperative, Inc.",45,"Hill Country Telephone Cooperative, Inc.",45
66,Advanced Wireless Services,161,AW-CMA667-A,Texas 16 - Burleson,4350000,American Cellular Corporation,55,American Cellular Corporation,55
66,Advanced Wireless Services,161,AW-CMA668-A,Texas 17 - Newton,183000,"Red Rock Spectrum Holdings, LLC",26,"Red Rock Spectrum Holdings, LLC",26
66,Advanced Wireless Services,161,AW-CMA669-A,Texas 18 - Edwards,1851000,"Hill Country Telephone Cooperative, Inc.",52,"Hill Country Telephone Cooperative, Inc.",52
66,Advanced Wireless Services,161,AW-CMA670-A,Texas 19 - Atascosa,226000,C&W Enterprises INC.,107,C&W Enterprises INC.,107
66,Advanced Wireless Services,161,AW-CMA671-A,Texas 20 - Wilson,314000,"Red Rock Spectrum Holdings, LLC",43,"Red Rock Spectrum Holdings, LLC",43
66,Advanced Wireless Services,161,AW-CMA672-A,Texas 21 - Chambers,20000,"Command Connect, LLC",43,"Command Connect, LLC",43
66,Advanced Wireless Services,161,AW-CMA673-A,Utah 1 - Box Elder,213000,AWS Wireless Inc.,68,AWS Wireless Inc.,68
66,Advanced Wireless Services,161,AW-CMA674-A,Utah 2 - Morgan,557000,Manti Telephone Company,47,Manti Telephone Company,47
66,Advanced Wireless Services,161,AW-CMA675-A,Utah 3 - Juab,160000,AWS Wireless Inc.,46,AWS Wireless Inc.,46
66,Advanced Wireless Services,161,AW-CMA676-A,Utah 4 - Beaver,272000,Manti Telephone Company,50,Manti Telephone Company,50
66,Advanced Wireless Services,161,AW-CMA677-A,Utah 5 - Carbon,729000,Manti Telephone Company,47,Manti Telephone Company,47
66,Advanced Wireless Services,161,AW-CMA678-A,Utah 6 - Piute,29000,Manti Telephone Company,4,Manti Telephone Company,4
66,Advanced Wireless Services,161,AW-CMA679-A,Vermont 1 - Franklin,175000,AWS Wireless Inc.,109,AWS Wireless Inc.,109
66,Advanced Wireless Services,161,AW-CMA680-A,Vermont 2 - Addison,2149000,AWS Wireless Inc.,133,AWS Wireless Inc.,133
66,Advanced Wireless Services,161,AW-CMA681-A,Virginia 1 - Lee,94000,American Cellular Corporation,85,American Cellular Corporation,85
66,Advanced Wireless Services,161,AW-CMA682-A,Virginia 2 - Tazewell,269000,American Cellular Corporation,85,American Cellular Corporation,85
66,Advanced Wireless Services,161,AW-CMA683-A,Virginia 3 - Giles,237000,NTELOS Inc.,85,NTELOS Inc.,85
66,Advanced Wireless Services,161,AW-CMA684-A,Virginia 4 - Bedford,112000,NTELOS Inc.,79,NTELOS Inc.,79
66,Advanced Wireless Services,161,AW-CMA685-A,Virginia 5 - Bath,38000,NTELOS Inc.,79,NTELOS Inc.,79
66,Advanced Wireless Services,161,AW-CMA686-A,Virginia 6 - Highland,281000,NTELOS Inc.,42,NTELOS Inc.,42
66,Advanced Wireless Services,161,AW-CMA687-A,Virginia 7 - Buckingham,57000,AWS Wireless Inc.,72,AWS Wireless Inc.,72
66,Advanced Wireless Services,161,AW-CMA688-A,Virginia 8 - Amelia,55000,AWS Wireless Inc.,72,AWS Wireless Inc.,72
66,Advanced Wireless Services,161,AW-CMA689-A,Virginia 9 - Greensville,55000,AWS Wireless Inc.,72,AWS Wireless Inc.,72
66,Advanced Wireless Services,161,AW-CMA690-A,Virginia 10 - Frederick,880000,AWS Wireless Inc.,51,AWS Wireless Inc.,51
66,Advanced Wireless Services,161,AW-CMA691-A,Virginia 11 - Madison,832000,"Cricket Licensee (Reauction), Inc.",71,"Cricket Licensee (Reauction), Inc.",71
66,Advanced Wireless Services,161,AW-CMA692-A,Virginia 12 - Caroline,695000,"Cricket Licensee (Reauction), Inc.",71,"Cricket Licensee (Reauction), Inc.",71
66,Advanced Wireless Services,161,AW-CMA693-A,Washington 1 - Clallam,430000,"Cricket Licensee (Reauction), Inc.",67,"Cricket Licensee (Reauction), Inc.",67
66,Advanced Wireless Services,161,AW-CMA694-A,Washington 2 - Okanogan,83000,"Red Rock Spectrum Holdings, LLC",34,"Red Rock Spectrum Holdings, LLC",34
66,Advanced Wireless Services,161,AW-CMA695-A,Washington 3 - Ferry,42000,"Red Rock Spectrum Holdings, LLC",82,"Red Rock Spectrum Holdings, LLC",82
66,Advanced Wireless Services,161,AW-CMA696-A,Washington 4 - Grays Harbor,235000,"Cricket Licensee (Reauction), Inc.",67,"Cricket Licensee (Reauction), Inc.",67
66,Advanced Wireless Services,161,AW-CMA697-A,Washington 5 - Kittitas,91000,"Red Rock Spectrum Holdings, LLC",82,"Red Rock Spectrum Holdings, LLC",82
66,Advanced Wireless Services,161,AW-CMA698-A,Washington 6 - Pacific,372000,"Cricket Licensee (Reauction), Inc.",67,"Cricket Licensee (Reauction), Inc.",67
66,Advanced Wireless Services,161,AW-CMA699-A,Washington 7 - Skamania,17000,"Red Rock Spectrum Holdings, LLC",43,"Red Rock Spectrum Holdings, LLC",43
