auction_id,auction_description,round,item_name,item_description,pwb_amount,net_pwb_amount,pw_bidder,round_of_pwb,previous_pw_bidder,round_of_previous_pwb,previous_pwb_amount,previous_net_pwb_amount
73,700 MHz Band,261,WY-CMA616-B,Pennsylvania 5 - Wayne,"175,000","131,250","PCS Partners, L.P.",36,Cellco Partnership d/b/a Verizon Wireless,23,"172,000",0
73,700 MHz Band,261,WY-CMA617-B,Pennsylvania 6 - Lawrence,"696,000","522,000","Toba Inlet PCS, LLC",21,"AT&T Mobility Spectrum, LLC",17,"662,000",0
73,700 MHz Band,261,WY-CMA618-B,Pennsylvania 7 - Jefferson,"83,000","62,250","MCBRIDE SPECTRUM PARTNERS, LLC",146,"Miller, David",40,"81,000",0
73,700 MHz Band,261,WY-CMA619-B,Pennsylvania 8 - Union,"4,744,000","4,744,000","AT&T Mobility Spectrum, LLC",27,Cellco Partnership d/b/a Verizon Wireless,23,"4,512,000",0
73,700 MHz Band,261,WY-CMA620-B,Pennsylvania 9 - Greene,"139,000","104,250","Cavalier Wireless, LLC",84,"Miller, David",83,"134,000",0
73,700 MHz Band,261,WY-CMA621-B,Pennsylvania 10 - Bedford,"134,000","100,500","King Street Wireless, L.P.",24,Cellco Partnership d/b/a Verizon Wireless,23,"121,000",0
73,700 MHz Band,261,WY-CMA622-B,Pennsylvania 11 - Huntington,"55,000","41,250","Miller, David",150,Cellco Partnership d/b/a Verizon Wireless,21,"54,000",0
73,700 MHz Band,261,WY-CMA623-B,Pennsylvania 12 - Lebanon,"61,000","45,750","PCS Partners, L.P.",151,"Miller, David",150,"59,000",0
73,700 MHz Band,261,WY-CMA624-B,Rhode Island 1 - Newport,"360,000","270,000","Triad 700, LLC",64,"PCS Partners, L.P.",63,"348,000",0
73,700 MHz Band,261,WY-CMA625-B,South Carolina 1 - Oconee,"26,000","19,500","VentureTel 700, Inc.",126,"Cellular South Licenses, Inc.",78,"25,000",0
73,700 MHz Band,261,WY-CMA626-B,South Carolina 2 - Laurens,"418,000","355,300","Piedmont Rural Telephone Cooperative, Inc.",22,Alltel Corporation,21,"364,000",0
73,700 MHz Band,261,WY-CMA627-B,South Carolina 3 - Cherokee,"254,000","215,900",Chester Telephone Company,22,Alltel Corporation,21,"231,000",0
73,700 MHz Band,261,WY-CMA628-B,South Carolina 4 - Chesterfiel,"1,590,000","1,351,500","Sandhill Communications, LLC",23,Alltel Corporation,21,"1,494,000",0
73,700 MHz Band,261,WY-CMA629-B,South Carolina 5 - Georgetown,"5,930,000","5,930,000","AT&T Mobility Spectrum, LLC",23,"Horry Telephone Cooperative, Inc.",22,"5,319,000",0
73,700 MHz Band,261,WY-CMA630-B,South Carolina 6 - Clarendon,0,0,FCC,0,Alltel Corporation,21,"2,203,000",0
73,700 MHz Band,261,WY-CMA631-B,South Carolina 7 - Calhoun,"151,000","113,250","Cavalier Wireless, LLC",95,"Reiter, Scott D",94,"145,000",0
73,700 MHz Band,261,WY-CMA632-B,South Carolina 8 - Hampton,"4,363,000","4,363,000","AT&T Mobility Spectrum, LLC",116,Cellco Partnership d/b/a Verizon Wireless,22,"4,277,000",0
73,700 MHz Band,261,WY-CMA633-B,South Carolina 9 - Lancaster,"951,000","951,000","Comporium Wireless, LLC",22,Cellco Partnership d/b/a Verizon Wireless,21,"793,000",0
73,700 MHz Band,261,WY-CMA634-B,South Dakota 1 - Harding,"107,000","107,000",Cellco Partnership d/b/a Verizon Wireless,24,KTC AWS Limited Partnership,12,"102,000",0
73,700 MHz Band,261,WY-CMA635-B,South Dakota 2 - Corson,"43,000","43,000","Iowa Intelegra Consortium, LLC",149,KTC AWS Limited Partnership,10,"42,000",0
73,700 MHz Band,261,WY-CMA636-B,South Dakota 3 - McPherson,"296,000","222,000",KTC AWS Limited Partnership,21,"AT&T Mobility Spectrum, LLC",20,"269,000",0
73,700 MHz Band,261,WY-CMA637-B,South Dakota 4 - Marshall,"658,000","658,000","AT&T Mobility Spectrum, LLC",18,KTC AWS Limited Partnership,17,"571,000",0
73,700 MHz Band,261,WY-CMA638-B,South Dakota 5 - Custer,"249,000","249,000","N.E. Colorado Wireless Technologies, Inc.",36,Cellco Partnership d/b/a Verizon Wireless,24,"244,000",0
73,700 MHz Band,261,WY-CMA639-B,South Dakota 6 - Haakon,"116,000","116,000","N.E. Colorado Wireless Technologies, Inc.",52,"Great American Broadband, Inc.",51,"112,000",0
73,700 MHz Band,261,WY-CMA640-B,South Dakota 7 - Sully,"105,000","105,000","Iowa Intelegra Consortium, LLC",127,KTC AWS Limited Partnership,126,"101,000",0
73,700 MHz Band,261,WY-CMA641-B,South Dakota 8 - Kingsbury,"340,000","340,000","AT&T Mobility Spectrum, LLC",15,KTC AWS Limited Partnership,14,"283,000",0
73,700 MHz Band,261,WY-CMA642-B,South Dakota 9 - Hanson,"1,183,000","1,183,000","AT&T Mobility Spectrum, LLC",20,"King Street Wireless, L.P.",16,"1,123,000",0
73,700 MHz Band,261,WY-CMA643-B,Tennessee 1 - Lake,"1,079,000","1,079,000","AT&T Mobility Spectrum, LLC",51,"Cellular South Licenses, Inc.",49,"1,053,000",0
73,700 MHz Band,261,WY-CMA644-B,Tennessee 2 - Cannon,"378,000","378,000","AT&T Mobility Spectrum, LLC",30,"Cellular South Licenses, Inc.",27,"357,000",0
73,700 MHz Band,261,WY-CMA645-B,Tennessee 3 - Macon,"3,124,000","3,124,000","AT&T Mobility Spectrum, LLC",42,"King Street Wireless, L.P.",41,"3,004,000",0
73,700 MHz Band,261,WY-CMA646-B,Tennessee 4 - Hamblen,"3,633,000","3,633,000","AT&T Mobility Spectrum, LLC",40,"King Street Wireless, L.P.",39,"3,493,000",0
73,700 MHz Band,261,WY-CMA647-B,Tennessee 5 - Fayette,"2,511,000","2,511,000","AT&T Mobility Spectrum, LLC",43,"Cellular South Licenses, Inc.",42,"2,424,000",0
73,700 MHz Band,261,WY-CMA648-B,Tennessee 6 - Giles,"193,000","193,000","Cellular South Licenses, Inc.",23,"AT&T Mobility Spectrum, LLC",13,"184,000",0
73,700 MHz Band,261,WY-CMA649-B,Tennessee 7 - Bledsoe,"3,164,000","3,164,000","AT&T Mobility Spectrum, LLC",30,"King Street Wireless, L.P.",28,"2,971,000",0
73,700 MHz Band,261,WY-CMA650-B,Tennessee 8 - Johnson,"35,000","29,750","Broadband Wireless Unlimited, LLC",244,"VentureTel 700, Inc.",243,"32,000",0
73,700 MHz Band,261,WY-CMA651-B,Tennessee 9 - Maury,"43,000","32,250","Miller, David",188,"Broadband Wireless Unlimited, LLC",178,"42,000",0
73,700 MHz Band,261,WY-CMA652-B,Texas 1 - Dallam,"75,000","75,000","SAL Spectrum, LLC",92,"C&W Enterprises, Inc.",74,"74,000",0
73,700 MHz Band,261,WY-CMA653-B,Texas 2 - Hansford,"587,000","587,000",Cellco Partnership d/b/a Verizon Wireless,24,"AT&T Mobility Spectrum, LLC",12,"559,000",0
73,700 MHz Band,261,WY-CMA654-B,Texas 3 - Parmer,"204,000","153,000","Miller, David",61,"C&W Enterprises, Inc.",60,"196,000",0
73,700 MHz Band,261,WY-CMA655-B,Texas 4 - Briscoe,"42,000","31,500","Miller, David",167,"SAL Spectrum, LLC",166,"40,000",0
73,700 MHz Band,261,WY-CMA656-B,Texas 5 - Hardeman,"540,000","405,000","King Street Wireless, L.P.",26,Cellco Partnership d/b/a Verizon Wireless,25,"490,000",0
73,700 MHz Band,261,WY-CMA657-B,Texas 6 - Jack,"402,000","402,000",Cellco Partnership d/b/a Verizon Wireless,24,"AT&T Mobility Spectrum, LLC",12,"383,000",0
73,700 MHz Band,261,WY-CMA658-B,Texas 7 - Fannin,"2,088,000","2,088,000","AT&T Mobility Spectrum, LLC",27,Cellco Partnership d/b/a Verizon Wireless,26,"1,898,000",0
73,700 MHz Band,261,WY-CMA659-B,Texas 8 - Gaines,"557,000","557,000","Central Texas Telephone Investments, LP",162,Cellco Partnership d/b/a Verizon Wireless,24,"546,000",0
73,700 MHz Band,261,WY-CMA660-B,Texas 9 - Runnels,"763,000","763,000","Central Texas Telephone Investments, LP",26,Cellco Partnership d/b/a Verizon Wireless,25,"693,000",0
73,700 MHz Band,261,WY-CMA661-B,Texas 10 - Navarro,"732,000","732,000","AT&T Mobility Spectrum, LLC",91,"Xanadoo 700 MHz DE, LLC",90,"708,000",0
73,700 MHz Band,261,WY-CMA662-B,Texas 11 - Cherokee,"1,846,000","1,846,000","AT&T Mobility Spectrum, LLC",45,CenturyTel Broadband Wireless LLC,44,"1,776,000",0
73,700 MHz Band,261,WY-CMA663-B,Texas 12 - Hudspeth,"238,000","202,300","Spectrum Acquisitions, Inc.",33,Cellco Partnership d/b/a Verizon Wireless,26,"227,000",0
